"","title","date","company","salary","maxsal","minsal","location","summary","link"
"79","Clinical Data Scientist","30","Nucleus","",NA,NA,"Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5UAZAzx7BP_l-2g1913gTIJGNG70xFpZnpGPaJr4YUo_7bUCAA5L6AvnvYNPmOvrS-y8Dcl6abedDXxjT8s2dybL7e3Yr_PFgH8BKLQvdmbvQ7xUGqODr3JcIdUu_D7F7dp8Nxdc-Ze0OquveRsZRKA2UZFfVLnZITrmw4SJM5-J31lWkrcA3YFYU_6hXGqbzLt3do2ccuzoV0DThcbiDt0nv3cpZKm_2qfX4FvyjRu9DAWaAWNqebcNAMWbQ2ZiytE_h4hSp5DiFzrMCWKVCkhYEoepNYC-Zg==&p=3&fvj=1&vjs=3"
"80","Senior Data Scientist","Today","Headcheckit.com","70,000 - 177,616","177,616","70,000",NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"81","Data Scientist","8","Cognowiz solutions LLC","",NA,NA,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"82","Co-op Data Scientist 2021","30","The Hershey Company","112,853 - 204,864","204,864","112,853","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"83","Data Scientist","Just posted","Dataiku","70,000 - 90,000","90,000","70,000","New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"84","Data Scientist (Junior)","30","KBR","81,078 - 129,709","129,709","81,078","Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"85","Data Scientist, Intermediate","13","UVA Medical Center","",NA,NA,"Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"86","Supply Chain Data Scientist","Just posted","TCS","70,000 - 177,616","177,616","70,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"87","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","",NA,NA,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"88","Data Scientist","7","ACHNET Inc","112,853 - 204,864","204,864","112,853","Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
